City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Bandarbeyla,SO,79.09,clear sky,9.4942,50.8122,JABIR HOTEL
6,Bubaque,GW,75.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
8,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
9,Puerto Ayora,EC,74.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
14,Hilo,US,80.26,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Rikitea,PF,76.93,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
27,San Patricio,US,71.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
30,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Pirineos
33,Saint George,US,73.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
36,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Avarua,CK,84.25,clear sky,-21.2078,-159.775,Paradise Inn
42,Brandon,US,79.36,overcast clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
44,Fare,PF,82.08,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
49,Tonj,SS,82.42,clear sky,7.2737,28.6822,Lakan Hotel
50,Faanui,PF,82.08,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Kwinana,AU,80.89,clear sky,-32.25,115.7667,Rockingham Apartments
69,Sur,OM,81.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
70,Grand-Santi,GF,71.71,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
71,Maxixe,MZ,74.23,clear sky,-23.8597,35.3472,Oceano
74,Sebring,US,80.31,scattered clouds,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
76,Hokitika,NZ,70.75,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
