City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clyde River,CA,70.4692,-68.5914,-1.97,84,0,0.0,clear sky
1,Bluff,NZ,-46.6,168.3333,54.23,52,52,5.75,broken clouds
2,Ponta Do Sol,PT,32.6667,-17.1,62.71,81,75,4.21,broken clouds
3,Belaya Gora,RU,68.5333,146.4167,-3.78,92,83,3.09,broken clouds
4,Bandarbeyla,SO,9.4942,50.8122,79.09,82,0,9.84,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,50.11,62,75,24.16,broken clouds
6,Bubaque,GW,11.2833,-15.8333,75.47,73,100,14.7,overcast clouds
7,Provideniya,RU,64.3833,-173.3,23.36,80,100,20.0,light snow
8,Carnarvon,AU,-24.8667,113.6333,73.47,94,100,17.27,overcast clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,74.55,99,100,1.95,overcast clouds
10,Okha,RU,53.5739,142.9478,16.43,80,10,11.92,clear sky
11,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,100,14.85,light rain
12,Vaini,TO,-21.2,-175.2,84.36,84,75,10.36,broken clouds
13,Lebu,CL,-37.6167,-73.65,53.92,79,100,20.24,overcast clouds
14,Hilo,US,19.7297,-155.09,80.26,82,100,6.91,light rain
15,Tiksi,RU,71.6872,128.8694,11.43,91,100,6.8,light snow
16,Lasa,IT,46.6166,10.7002,45.01,97,100,3.58,light rain
17,Tevriz,RU,57.509,72.4042,16.86,99,99,2.19,overcast clouds
18,Jian,CN,27.1172,114.9793,51.91,89,100,13.2,overcast clouds
19,Saldanha,ZA,-33.0117,17.9442,61.14,80,0,17.76,clear sky
20,Rikitea,PF,-23.1203,-134.9692,76.93,70,99,16.82,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,49.66,57,20,11.5,few clouds
22,Airai,TL,-8.9266,125.4092,70.95,53,1,1.19,clear sky
23,Hermanus,ZA,-34.4187,19.2345,62.91,70,95,9.46,overcast clouds
24,Butaritari,KI,3.0707,172.7902,81.5,78,89,16.4,light rain
25,Jamestown,US,42.097,-79.2353,42.53,66,100,16.11,overcast clouds
26,Saskylakh,RU,71.9167,114.0833,9.1,96,100,8.14,overcast clouds
27,San Patricio,US,28.017,-97.5169,71.69,61,93,14.65,overcast clouds
28,Valdivia,CL,-39.8142,-73.2459,48.29,83,100,2.86,overcast clouds
29,Guerrero Negro,MX,27.9769,-114.0611,61.92,68,6,20.24,clear sky
30,San Cristobal,VE,7.7669,-72.225,71.78,80,68,1.48,broken clouds
31,Guangshui,CN,31.6199,113.9978,52.29,64,100,8.23,overcast clouds
32,Kamaishi,JP,39.2667,141.8833,41.09,42,100,12.73,overcast clouds
33,Saint George,US,37.1041,-113.5841,73.63,20,0,13.8,clear sky
34,Khatanga,RU,71.9667,102.5,4.96,98,100,6.33,overcast clouds
35,Tuatapere,NZ,-46.1333,167.6833,56.25,57,58,4.52,broken clouds
36,Kapaa,US,22.0752,-159.319,80.58,76,20,14.97,few clouds
37,Hobart,AU,-42.8794,147.3294,60.06,75,75,11.5,broken clouds
38,Mataura,NZ,-46.1927,168.8643,56.53,53,100,5.68,overcast clouds
39,Avarua,CK,-21.2078,-159.775,84.25,74,0,9.22,clear sky
40,Bredasdorp,ZA,-34.5322,20.0403,62.85,64,100,4.41,overcast clouds
41,Yellowknife,CA,62.456,-114.3525,11.41,83,100,16.53,overcast clouds
42,Brandon,US,27.9378,-82.2859,79.36,80,100,9.22,overcast clouds
43,Barrow,US,71.2906,-156.7887,-7.58,71,0,19.57,haze
44,Fare,PF,-16.7,-151.0167,82.08,68,33,11.88,scattered clouds
45,Flinders,AU,-34.5833,150.8552,62.19,89,100,8.99,light rain
46,Tuktoyaktuk,CA,69.4541,-133.0374,-13.58,95,100,6.11,overcast clouds
47,Pangnirtung,CA,66.1451,-65.7125,14.07,89,100,5.64,overcast clouds
48,Finnsnes,NO,69.2296,17.9811,23.61,90,100,3.87,overcast clouds
49,Tonj,SS,7.2737,28.6822,82.42,31,6,2.24,clear sky
50,Faanui,PF,-16.4833,-151.75,82.08,67,28,12.84,scattered clouds
51,Katsuura,JP,35.1333,140.3,39.22,86,100,21.92,light rain
52,Zeya,RU,53.75,127.2667,31.19,65,100,3.06,overcast clouds
53,Sikonge,TZ,-5.6333,32.7667,62.55,92,95,4.05,overcast clouds
54,Port Alfred,ZA,-33.5906,26.891,63.18,95,100,5.01,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,59.72,59,98,3.0,overcast clouds
56,Kwinana,AU,-32.25,115.7667,80.89,65,9,11.14,clear sky
57,Mar Del Plata,AR,-38.0023,-57.5575,56.88,78,2,5.99,clear sky
58,Dudinka,RU,69.4058,86.1778,13.62,94,100,6.31,overcast clouds
59,Fram,PY,-26.9833,-55.8833,57.79,75,0,5.55,clear sky
60,Gravdal,NO,68.1214,13.5031,30.09,62,100,1.07,overcast clouds
61,Kristiinankaupunki,FI,62.2743,21.376,19.44,96,69,3.78,broken clouds
62,Izhma,RU,65.0083,53.9113,10.92,98,99,3.62,overcast clouds
63,Mumbwa,ZM,-14.9783,27.0619,60.51,94,0,4.0,clear sky
64,Norman Wells,CA,65.282,-126.8329,-7.71,88,100,10.65,overcast clouds
65,Kholmogory,RU,64.2229,41.656,12.22,96,97,5.1,overcast clouds
66,Bilibino,RU,68.0546,166.4372,-2.34,89,74,2.82,broken clouds
67,Westport,US,41.1415,-73.3579,60.62,95,100,27.63,overcast clouds
68,San Quintin,MX,30.4833,-115.95,59.97,73,21,16.55,few clouds
69,Sur,OM,22.5667,59.5289,81.25,38,0,5.55,clear sky
70,Grand-Santi,GF,4.25,-54.3833,71.71,99,95,2.33,overcast clouds
71,Maxixe,MZ,-23.8597,35.3472,74.23,85,0,5.59,clear sky
72,Magistralnyy,RU,56.1725,107.4458,34.7,87,100,6.69,overcast clouds
73,Chuy,UY,-33.6971,-53.4616,55.99,77,86,5.84,overcast clouds
74,Sebring,US,27.4956,-81.4409,80.31,67,40,8.05,scattered clouds
75,Tripoli,LY,32.8752,13.1875,66.07,42,0,17.47,clear sky
76,Hokitika,NZ,-42.7167,170.9667,70.75,50,100,3.27,overcast clouds
77,Hithadhoo,MV,-0.6,73.0833,82.45,69,6,5.32,clear sky
78,Husavik,IS,66.0449,-17.3389,32.58,98,100,2.84,light snow
79,San Isidro,PE,-12.1167,-77.05,77.02,63,0,11.5,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,76.12,87,18,6.76,few clouds
81,Apatou,GF,5.155,-54.3472,72.64,94,100,1.68,overcast clouds
82,Bereda,ES,43.2686,-7.5406,40.41,93,43,4.76,scattered clouds
83,Thompson,CA,55.7435,-97.8558,30.25,92,100,4.74,overcast clouds
84,Bengkulu,ID,-3.8004,102.2655,78.15,69,9,2.15,clear sky
85,Qaanaaq,GL,77.484,-69.3632,24.01,72,100,3.11,overcast clouds
86,Dikson,RU,73.5069,80.5464,1.65,93,25,8.57,scattered clouds
87,Torbay,CA,47.6666,-52.7314,36.57,75,14,11.99,few clouds
88,Biak,ID,-0.9131,122.8766,81.7,68,86,1.03,overcast clouds
89,Ribeira Grande,PT,38.5167,-28.7,61.59,91,100,22.79,overcast clouds
90,Pali,IN,25.7667,73.3333,75.04,11,0,4.0,clear sky
91,Port Elizabeth,ZA,-33.918,25.5701,65.32,82,100,4.0,overcast clouds
92,Mildura,AU,-34.2,142.15,68.07,42,0,13.8,clear sky
93,Georgetown,MY,5.4112,100.3354,82.33,78,20,0.0,few clouds
94,Chokurdakh,RU,70.6333,147.9167,-12.41,96,61,2.93,broken clouds
95,Mount Gambier,AU,-37.8333,140.7667,65.32,44,0,11.92,clear sky
96,Yar-Sale,RU,66.8333,70.8333,12.11,83,100,15.59,overcast clouds
97,Bethel,US,41.3712,-73.414,61.65,90,100,17.27,mist
98,Lompoc,US,34.6391,-120.4579,65.12,85,100,19.57,mist
99,Maracacume,BR,-2.0428,-45.9592,73.22,98,100,2.15,overcast clouds
100,Krasnoselkup,RU,65.7,82.4667,11.35,91,98,16.04,overcast clouds
101,Amapa,BR,1.0,-52.0,71.15,100,100,1.72,overcast clouds
102,Aleksandrov Gay,RU,50.147,48.5704,46.04,77,65,10.8,broken clouds
103,Galveston,US,29.3669,-94.9669,71.71,62,0,6.91,clear sky
104,Waipawa,NZ,-41.4122,175.5153,59.4,93,100,6.87,overcast clouds
105,Kefamenanu,ID,-9.4467,124.4781,79.92,66,6,1.43,clear sky
106,Kaitangata,NZ,-46.2817,169.8464,54.45,54,100,7.07,overcast clouds
107,Rossland,CA,49.0831,-117.8022,42.62,60,16,3.89,few clouds
108,Tilichiki,RU,60.4667,166.1,6.17,76,94,10.92,overcast clouds
109,Mayo,US,38.8876,-76.5119,70.12,92,100,14.97,mist
110,Cape Coast,GH,5.1053,-1.2466,79.59,85,100,5.57,overcast clouds
111,Kruisfontein,ZA,-34.0033,24.7314,62.89,81,100,5.21,overcast clouds
112,Rio Grande,BR,-32.035,-52.0986,48.94,64,100,9.75,overcast clouds
113,Namibe,AO,-15.1961,12.1522,72.21,75,82,7.2,broken clouds
114,Albany,US,42.6001,-73.9662,56.95,93,100,4.9,moderate rain
115,Luganville,VU,-15.5333,167.1667,85.78,73,97,6.24,overcast clouds
116,Gorom-Gorom,BF,14.4439,-0.2361,83.25,4,11,5.97,few clouds
117,Muros,ES,42.7762,-9.0603,48.09,78,32,14.29,scattered clouds
118,Longyearbyen,SJ,78.2186,15.6401,8.44,61,20,20.71,few clouds
119,Beyneu,KZ,45.3167,55.2,46.89,56,0,5.3,clear sky
120,Benguela,AO,-12.5763,13.4055,76.57,88,87,1.14,light rain
121,Busselton,AU,-33.65,115.3333,74.07,68,64,13.29,broken clouds
122,Basoko,CD,1.2391,23.616,72.82,88,100,3.69,overcast clouds
123,Elko,US,41.0002,-115.5012,48.22,36,20,18.01,few clouds
124,Kieta,PG,-6.2167,155.6333,83.79,77,100,2.06,moderate rain
125,Sao Filipe,CV,14.8961,-24.4956,71.89,76,48,10.47,scattered clouds
126,Srednekolymsk,RU,67.45,153.6833,0.7,85,99,4.18,overcast clouds
127,Vostok,RU,46.4856,135.8833,21.83,81,100,11.3,light snow
128,Pisco,PE,-13.7,-76.2167,68.05,73,0,10.36,clear sky
129,Sechura,PE,-5.5569,-80.8222,73.17,72,83,16.96,broken clouds
130,Mineiros,BR,-17.5694,-52.5511,69.62,87,83,3.78,light rain
131,Jadu,LY,31.953,12.0261,59.61,27,0,12.35,clear sky
132,Bahjoi,IN,28.4,78.6167,73.81,16,0,4.76,clear sky
133,Geraldton,AU,-28.7667,114.6,75.61,78,100,16.11,overcast clouds
134,Severo-Kurilsk,RU,50.6789,156.125,29.44,77,88,17.72,overcast clouds
135,Santa Barbara,US,34.7333,-120.0343,59.34,79,0,16.11,haze
136,Cidreira,BR,-30.1811,-50.2056,60.04,69,77,4.36,broken clouds
137,Pouembout,NC,-21.1333,164.9,85.1,73,52,2.42,broken clouds
