City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2022-03-30 21:15:39,-37.6167,-73.65,55.27,67,21,23.62
1,Carnarvon,AU,2022-03-30 21:11:07,-24.8667,113.6333,77.07,88,100,3.44
2,Coquimbo,CL,2022-03-30 21:15:39,-29.9533,-71.3436,62.33,77,0,11.5
3,El Campo,US,2022-03-30 21:15:40,29.1966,-96.2697,87.76,17,0,21.85
4,Kimberley,ZA,2022-03-30 21:15:40,-28.7323,24.7623,64.09,94,97,0.0
5,New Norfolk,AU,2022-03-30 21:15:41,-42.7826,147.0587,51.3,68,60,1.99
6,Sinnamary,GF,2022-03-30 21:15:41,5.3833,-52.95,78.26,78,97,8.03
7,Port Alfred,ZA,2022-03-30 21:15:41,-33.5906,26.891,65.17,75,100,1.01
8,Beloha,MG,2022-03-30 21:15:42,-25.1667,45.05,70.34,81,0,12.88
9,Rikitea,PF,2022-03-30 21:15:42,-23.1203,-134.9692,78.93,73,100,16.87
10,Haines Junction,CA,2022-03-30 21:15:43,60.7522,-137.5108,39.15,60,100,5.75
11,Rawson,AR,2022-03-30 21:15:43,-43.3002,-65.1023,56.71,47,4,13.69
12,Arraial Do Cabo,BR,2022-03-30 21:15:43,-22.9661,-42.0278,80.56,83,0,12.66
13,Yeppoon,AU,2022-03-30 21:15:44,-23.1333,150.7333,67.78,59,9,7.29
14,Kapaa,US,2022-03-30 21:15:44,22.0752,-159.319,79.48,76,40,12.66
15,Hobart,AU,2022-03-30 21:15:16,-42.8794,147.3294,51.66,74,75,10.36
16,Jamestown,US,2022-03-30 21:15:22,42.097,-79.2353,55.53,35,100,11.01
17,Hermanus,ZA,2022-03-30 21:15:45,-34.4187,19.2345,59.81,80,100,6.82
18,Puerto Ayora,EC,2022-03-30 21:15:45,-0.7393,-90.3518,85.96,90,100,5.01
19,Saint-Philippe,RE,2022-03-30 21:15:45,-21.3585,55.7679,78.39,82,93,20.49
20,Georgetown,MY,2022-03-30 21:12:15,5.4112,100.3354,82.33,83,20,0.0
21,Bluff,NZ,2022-03-30 21:15:46,-46.6,168.3333,57.29,89,98,5.57
22,Vila Velha,BR,2022-03-30 21:15:46,-20.3297,-40.2925,82.35,81,0,9.22
23,Punta Arenas,CL,2022-03-30 21:15:03,-53.15,-70.9167,48.31,71,75,20.71
24,Gurlan,UZ,2022-03-30 21:15:47,41.8447,60.3919,41.07,28,35,9.04
25,Marathon,US,2022-03-30 21:14:28,44.9,-89.7668,35.19,94,100,8.05
26,Butaritari,KI,2022-03-30 21:15:47,3.0707,172.7902,81.01,64,6,6.08
27,Albany,US,2022-03-30 21:14:59,42.6001,-73.9662,41.65,28,100,3.0
28,Saldanha,ZA,2022-03-30 21:15:48,-33.0117,17.9442,62.46,85,97,9.75
29,Atuona,PF,2022-03-30 21:15:48,-9.8,-139.0333,78.46,81,48,13.53
30,Sola,VU,2022-03-30 21:15:48,-13.8833,167.55,83.07,89,40,2.3
31,Hay River,CA,2022-03-30 21:15:49,60.8156,-115.7999,13.96,73,75,8.05
32,Nikolskoye,RU,2022-03-30 21:15:49,59.7035,30.7861,26.49,86,54,8.3
33,Bestobe,KZ,2022-03-30 21:15:50,52.4994,73.0975,36.0,77,100,26.26
34,Vaini,TO,2022-03-30 21:15:50,-21.2,-175.2,82.56,83,75,6.91
35,Ballina,AU,2022-03-30 21:15:50,-28.8667,153.5667,71.02,91,100,20.2
36,Cam Ranh,VN,2022-03-30 21:15:51,11.9214,109.1591,75.16,94,75,2.3
37,Bredasdorp,ZA,2022-03-30 21:15:51,-34.5322,20.0403,62.67,76,100,9.46
38,Mareeba,AU,2022-03-30 21:15:52,-17.0,145.4333,66.92,73,99,1.68
39,Tripoli,LY,2022-03-30 21:14:07,32.8752,13.1875,75.92,31,96,20.6
40,Upernavik,GL,2022-03-30 21:15:52,72.7868,-56.1549,15.55,87,8,8.52
